"Acquisition.Time","Acquisition.Start.Time","GPS.Fix.Time","GPS.Fix.Attempt","GPS.Latitude","GPS.Longitude","GPS.UTM.Zone","GPS.UTM.Northing","GPS.UTM.Easting","GPS.Horizontal.Error","Satellite.Uplink","Receive.Time","Repetition.Count","Low.Voltage","Mortality","Predeployment.Data","Error","Serial_Number","DateTime","StartTrack","AID","Date","Status"
"2021.03.02 00:01:30","2021.03.02 00:00:00","2021.03.02 00:01:30","Succeeded",43.376813,-109.413915,"12T",4803882,628487,7.5,"",2021-03-01 17:05:01,1,"","","No",NA,"707629A",2021-03-01 17:01:30,2021-03-01,"WR_Elk084",2021-03-02,"NA"
"2021.03.03 00:01:30","2021.03.03 00:00:00","2021.03.03 00:01:30","Succeeded",43.360505,-109.433398,"12T",4802041,626943,7.5,"",2021-03-02 17:05:01,1,"","","No",NA,"707629A",2021-03-02 17:01:30,2021-03-01,"WR_Elk084",2021-03-03,"NA"
"2021.03.04 00:01:30","2021.03.04 00:00:00","2021.03.04 00:01:30","Succeeded",43.361878,-109.421811,"12T",4802211,627879,22.5,"",2021-03-03 17:05:01,1,"","","No",NA,"707629A",2021-03-03 17:01:30,2021-03-01,"WR_Elk084",2021-03-04,"NA"
"2021.03.05 00:01:30","2021.03.05 00:00:00","2021.03.05 00:01:30","Succeeded",43.364024,-109.436059,"12T",4802428,626720,7.5,"",2021-03-04 17:05:00,1,"","","No",NA,"707629A",2021-03-04 17:01:30,2021-03-01,"WR_Elk084",2021-03-05,"NA"
"2021.03.06 00:01:30","2021.03.06 00:00:00","2021.03.06 00:01:30","Succeeded",43.371062,-109.451766,"12T",4803186,625433,7.5,"",2021-03-05 17:05:01,1,"","","No",NA,"707629A",2021-03-05 17:01:30,2021-03-01,"WR_Elk084",2021-03-06,"NA"
"2021.03.07 00:02:30","2021.03.07 00:00:00","2021.03.07 00:02:30","Succeeded",43.368573,-109.456143,"12T",4802903,625083,22.5,"",2021-03-06 17:05:00,1,"","","No",NA,"707629A",2021-03-06 17:02:30,2021-03-01,"WR_Elk084",2021-03-07,"NA"
"2021.03.08 00:01:30","2021.03.08 00:00:00","2021.03.08 00:01:30","Succeeded",43.376298,-109.463782,"12T",4803749,624449,7.5,"",2021-03-07 17:05:00,1,"","","No",NA,"707629A",2021-03-07 17:01:30,2021-03-01,"WR_Elk084",2021-03-08,"NA"
"2021.03.09 00:01:30","2021.03.09 00:00:00","2021.03.09 00:01:30","Succeeded",43.364625,-109.459405,"12T",4802460,624827,7.5,"",2021-03-08 17:05:01,1,"","","No",NA,"707629A",2021-03-08 17:01:30,2021-03-01,"WR_Elk084",2021-03-09,"NA"
"2021.03.10 00:01:30","2021.03.10 00:00:00","2021.03.10 00:01:30","Succeeded",43.367801,-109.477773,"12T",4802785,623332,22.5,"",2021-03-09 17:05:01,1,"","","No",NA,"707629A",2021-03-09 17:01:30,2021-03-01,"WR_Elk084",2021-03-10,"NA"
"2021.03.11 00:02:30","2021.03.11 00:00:00","2021.03.11 00:02:30","Succeeded",43.358617,-109.425845,"12T",4801843,627559,7.5,"",2021-03-10 17:05:01,1,"","","No",NA,"707629A",2021-03-10 17:02:30,2021-03-01,"WR_Elk084",2021-03-11,"NA"
