"AID","Date","GPS.Latitude","GPS.Longitude","Acquisition.Time","Acquisition.Start.Time","GPS.Fix.Time","GPS.Fix.Attempt","GPS.UTM.Zone","GPS.UTM.Northing","GPS.UTM.Easting","GPS.Horizontal.Error","Satellite.Uplink","Receive.Time","Repetition.Count","Low.Voltage","Mortality","Predeployment.Data","Error","Serial_Number","DateTime","StartTrack","Status"
"WR_MD008",2021-03-02,43.250384,-109.192042,"2021.03.02 00:01:30","2021.03.02 00:00:00","2021.03.02 00:01:30","Succeeded","12T",4790207,646765,22.5,"",2021-03-01 17:14:01,1,"","","No",NA,"708483A",2021-03-01 17:01:30,2021-03-01,NA
"WR_MD008",2021-03-03,43.227468,-109.200625,"2021.03.03 00:01:30","2021.03.03 00:00:00","2021.03.03 00:01:30","Succeeded","12T",4787647,646123,7.5,"",2021-03-02 17:14:00,1,"","","No",NA,"708483A",2021-03-02 17:01:30,2021-03-01,NA
"WR_MD008",2021-03-04,43.228154,-109.199252,"2021.03.04 00:01:30","2021.03.04 00:00:00","2021.03.04 00:01:30","Succeeded","12T",4787726,646233,22.5,"",2021-03-03 17:14:00,1,"","","No",NA,"708483A",2021-03-03 17:01:30,2021-03-01,NA
"WR_MD008",2021-03-05,43.226609,-109.196248,"2021.03.05 00:00:30","2021.03.05 00:00:00","2021.03.05 00:00:30","Succeeded","12T",4787559,646481,7.5,"",2021-03-04 17:22:46,1,"","","No",NA,"708483A",2021-03-04 17:00:30,2021-03-01,NA
"WR_MD008",2021-03-06,43.239999,-109.181228,"2021.03.06 00:00:30","2021.03.06 00:00:00","2021.03.06 00:00:30","Succeeded","12T",4789073,647668,7.5,"",2021-03-05 17:14:01,1,"","","No",NA,"708483A",2021-03-05 17:00:30,2021-03-01,NA
"WR_MD008",2021-03-07,43.23751,-109.199424,"2021.03.07 00:00:30","2021.03.07 00:00:00","2021.03.07 00:00:30","Succeeded","12T",4788764,646197,7.5,"",2021-03-06 17:14:00,1,"","","No",NA,"708483A",2021-03-06 17:00:30,2021-03-01,NA
"WR_MD008",2021-03-08,43.241973,-109.18097,"2021.03.08 00:01:30","2021.03.08 00:00:00","2021.03.08 00:01:30","Succeeded","12T",4789292,647685,7.5,"",2021-03-07 17:14:00,1,"","","No",NA,"708483A",2021-03-07 17:01:30,2021-03-01,NA
"WR_MD008",2021-03-09,43.239999,-109.180284,"2021.03.09 00:00:30","2021.03.09 00:00:00","2021.03.09 00:00:30","Succeeded","12T",4789074,647745,7.5,"",2021-03-08 17:14:00,1,"","","No",NA,"708483A",2021-03-08 17:00:30,2021-03-01,NA
"WR_MD008",2021-03-10,43.240256,-109.194102,"2021.03.10 00:01:30","2021.03.10 00:00:00","2021.03.10 00:01:30","Succeeded","12T",4789079,646622,52.5,"",2021-03-09 17:14:01,1,"","","No",NA,"708483A",2021-03-09 17:01:30,2021-03-01,NA
"WR_MD008",2021-03-11,43.24944,-109.194016,"2021.03.11 00:00:30","2021.03.11 00:00:00","2021.03.11 00:00:30","Succeeded","12T",4790099,646607,7.5,"",2021-03-10 17:14:00,1,"","","No",NA,"708483A",2021-03-10 17:00:30,2021-03-01,NA
